lang,seamlessm4t,whisper,seamlessm4t_train,whisper_train,seamlessm4t_test,whisper_test,seamlessm4t_dev,whisper_dev
isl_Latn,25.72185036443511,7.757727933610404,25.854217522066048,7.973550711843314,24.02751753229655,7.066157502689454,24.6800083526195,4.694379588351454
kor_Hang,22.321171305670934,18.690464837577167,22.21348344216096,18.642011014744554,22.952453241866777,18.81560960741361,21.99756651294835,18.797186007770208
lao_Laoo,25.605279928516058,6.821864944311749,26.223899602672265,7.303443768489688,23.534481329001057,5.3336393261419035,24.33260448628433,5.903572916496641
arb_Arab,32.90379483308347,18.56608833309546,32.62315606278224,18.466731111821495,34.133410517720854,19.215075536000615,32.820587077473874,18.00464944884547
ces_Latn,32.990660436596215,24.188025466728902,32.67900635851139,23.481897080624236,34.011181891403005,26.59403757374859,33.60239501693653,25.527858714406502
dan_Latn,38.949994059648034,32.66102960918806,39.364342452747735,33.10979720066241,37.46396172893775,31.211215930844382,38.93129275515732,32.28607705634655
kat_Geor,21.79490805581341,2.287988247927805,22.072140595023168,2.4837351412098823,21.22357332167445,2.037071829423683,21.22700625479704,1.7858868660990266
fin_Latn,27.233746264659917,19.40672594832925,27.075594381763892,19.102251572504663,27.700000817435722,20.126698448989355,26.446659741890446,20.264323976343515
jpn_Jpan,17.545246359478845,15.957247333765924,17.33957122091426,15.907567941769612,18.02212841006791,16.743877455994298,18.317320732242663,14.38573642929536
cat_Latn,39.4580757974828,32.134615899566434,39.02555493433518,31.42210433147039,39.28151154214984,33.38481807774232,42.83302331715193,35.211771622777306
mkd_Cyrl,35.56834731662098,25.748757607537616,35.44109020993648,25.518770591537493,35.48611093365479,26.735130739775553,36.928508529524734,25.295793660399394
afr_Latn,42.485400189287155,33.261888620470096,42.73407384320138,32.571216004709974,42.23371367176342,34.95011602647135,41.68958798371043,34.10117409731317
ind_Latn,30.360830711709575,26.2070984436318,30.372482842085464,26.0292420508963,30.249640588726496,27.168716547311497,30.496614027559996,25.65693313719496
spa_Latn,24.427334057823753,22.004471403100872,24.081678067079388,21.65989882404194,25.282564803847958,22.78023907706385,25.32401231839714,23.073606437083104
bos_Latn,35.500131799717444,27.578076248845385,35.15319085046394,27.24641075840905,36.29010577976235,28.732474590147355,36.871677099208746,27.92675262020065
hin_Deva,28.431476930701063,19.47820578950922,28.719199818473886,19.64768397823423,27.387983854666402,20.20963337348477,27.765862164553557,16.085816682328097
